Id,DateAndTime,documentType,PartName,RevisionNo,SerialNo,StatsCount,ReportNo,OperationNo,ResRevNo,Cmm,Instructions,BenchName,Confirmation,ConfirmingUserId,Operator,Measurer,Shift,StandNo,MaterialCode,MeasurementPlan,Order,DrawingNo,CreatedDate,UpdatedDate
01fc947b-61e1-42fc-adc2-1fbab3cd4a6d,2022-01-05 02:42:29+03,xls,B 5007,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-2-10,911 9060 175,59:38.8,59:38.8
fbf2d78d-7c66-4770-92a0-99cb68c921ae,2022-01-05 03:30:07+03,xls,B 5008,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-3-10,911 9060 175,59:40.8,59:40.8
f4b950b3-82e9-4acb-90a4-158f4f729ddd,2022-01-05 03:46:59+03,xls,B 5008,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-4-10,911 9060 175,59:42.8,59:42.8
bf5e24d7-eb25-45ac-9997-b5b9d0abc54d,2022-01-04 09:38:27+03,xls,B 5009,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-27,911 9060 175,59:44.9,59:44.9
5a317e93-aca6-48e2-8492-f46986c17c43,2022-01-04 09:59:22+03,xls,B 5010,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-2-27,911 9060 175,59:46.9,59:46.9
d10bde77-39b3-4baa-933b-4a1ab080a17c,2022-01-04 10:46:36+03,xls,B 5011,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-3-27,911 9060 175,59:48.9,59:48.9
4abc5865-8a4d-4535-b201-66ffdf7626e5,2022-01-04 11:08:17+03,xls,A 1001,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-4-27,911 9060 175,59:51.0,59:51.0
f0002eb5-d817-4a19-bad2-258251ff4aec,2022-01-04 22:44:24+03,xls,A 1001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-3-37,412 3520 165,59:53.0,59:53.0
fc54886a-b295-4cbf-818b-57505659f03a,2022-01-04 22:58:02+03,xls,A 1001,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-1-37,412 3520 165,59:55.0,59:55.0
480e8d32-2600-47a2-903a-4d96beb5a0ec,2022-01-04 23:17:59+03,xls,A 1001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-37,412 3520 165,59:57.1,59:57.1
41a87af2-2272-40b2-8009-428e0ecf5fd4,2022-01-04 23:29:38+03,xls,A 1001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-37,412 3520 165,59:59.1,59:59.1
a0bc551e-405b-46fc-89ab-ed237315427b,2022-01-05 04:44:58+03,xls,A 1002,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-1-45,412 3520 165,00:01.1,00:01.1
be032e2c-96e4-4b89-a6a1-6cc16e304cb3,2022-01-05 05:13:18+03,xls,A 1002,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-45,412 3520 165,00:03.2,00:03.2
5d05a456-b4d8-4565-b287-cad77768b4ea,2022-01-05 05:49:07+03,xls,A 1002,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-3-45,412 3520 165,00:05.2,00:05.2
28080113-dffb-4cb7-82b6-448e97704fde,2022-01-05 06:02:12+03,xls,A 1002,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-45,412 3520 165,00:06.2,00:06.2
a3aa9aad-50a3-4d9c-b4b8-88617179c73b,2022-01-06 02:24:12+03,xls,A 1002,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-1-69,911 9060 175,00:08.3,00:08.3
230f71d5-e4dc-4d94-b183-579ef25768d7,2022-01-06 03:36:04+03,xls,A 1003,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-2-69,911 9060 175,00:10.4,00:10.4
227d1bb7-11ea-4d25-917f-b98ffef061c4,2022-01-06 04:03:00+03,xls,A 1003,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-3-69,911 9060 175,00:12.4,00:12.4
1052ba2b-4ebe-4df7-b3da-d30338e41528,2022-01-06 05:24:50+03,xls,A 1003,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-4-69,911 9060 175,00:14.4,00:14.4
c34b8829-074c-4575-b2c3-5d04f7a801df,2022-01-05 17:08:17+03,xls,A 1003,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-64,412 3520 165,00:16.5,00:16.5
858bdc84-428e-4e27-9d2a-1879c6950bee,2022-01-05 17:33:21+03,xls,A 1003,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-64,412 3520 165,00:18.5,00:18.5
699a19c8-58f6-436a-94d8-400b200e53f2,2022-01-06 01:16:21+03,xls,A 1004,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-1-75,412 3520 165,00:20.6,00:20.6
3f22c43f-1ce7-493e-b904-565f9f5a3aa7,2022-01-06 01:36:41+03,xls,A 1004,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-75,412 3520 165,00:22.6,00:22.6
c703f1ca-8a49-459f-b095-8189a15fc031,2022-01-06 01:48:46+03,xls,A 1004,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-3-75,412 3520 165,00:24.6,00:24.6
11c137b9-b9d4-4e26-9454-5b6af8fd3069,2022-01-06 02:01:00+03,xls,A 1004,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-75,412 3520 165,00:27.7,00:27.7
32a5e2f5-aa2d-4457-a752-5419be37afa3,2022-01-05 13:32:15+03,xls,A 1005,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-1-54,412 3520 165,00:29.7,00:29.7
eb7d5c69-5ba2-44da-b229-b0a1d32d9c2e,2022-01-05 13:53:04+03,xls,A 1005,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-54,412 3520 165,00:31.7,00:31.7
ff469903-4fef-40dc-8a86-fba96b67c056,2022-01-05 14:31:49+03,xls,A 1005,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-3-54,412 3520 165,00:33.8,00:33.8
da0f1e4e-fd6c-4b73-b1ca-0c1f5ba3176c,2022-01-05 14:56:04+03,xls,A 1005,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-54,412 3520 165,00:35.8,00:35.8
813a42d2-d9ff-409e-a96b-cf917b6570df,2022-01-06 17:16:18+03,xls,A 1006,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-71 ,911 9060 175,00:37.8,00:37.8
c9744f6b-66c5-4cb6-a4ae-cc40bd16c4b6,2022-01-06 17:35:08+03,xls,A 1006,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-2-64 ,911 9060 175,00:39.9,00:39.9
a337289b-8f92-48f3-b05b-a0edec7cf127,2022-01-06 22:21:42+03,xls,A 1006,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-2-89 ,911 9060 175,00:41.9,00:41.9
c272d608-4af9-4802-a911-2b6124e09c72,2022-01-06 22:32:16+03,xls,A 1007,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-2-81 ,911 9060 175,00:43.9,00:43.9
8b2c79ad-6b88-431c-9867-c77f9467e942,2022-01-07 01:10:33+03,xls,A 1007,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-114,911 9060 175,00:46.0,00:46.0
73c00bee-76ec-4477-8a3f-7407b4740126,2022-01-07 01:27:53+03,xls,A 1007,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-2-114,911 9060 175,00:48.0,00:48.0
5d369c4f-c189-47bf-baa0-068a00a4416d,2022-01-07 01:46:42+03,xls,A 1008,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-3-114,911 9060 175,00:50.0,00:50.0
b63481b9-aabc-4641-9a9d-63a6027d0695,2022-01-07 02:33:49+03,xls,A 1008,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-4-114,911 9060 175,00:52.1,00:52.1
4a37a0f7-87c1-4a2e-8fb7-7524d03fb711,2022-01-06 09:40:40+03,xls,A 1009,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-83,911 9060 175,00:54.1,00:54.1
eb04aed1-83d3-4356-8f9f-1383cd5a8cab,2022-01-06 10:11:19+03,xls,A 1010,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-4-83,911 9060 175,00:56.1,00:56.1
0d0ae650-0aae-49fa-bac8-1a0736b20c58,2022-01-07 22:55:40+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-4-139 ,911 9060 175,00:58.2,00:58.2
bb3990a4-3235-4692-b925-8df7e7a14159,2022-01-07 23:12:04+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-2-139 ,911 9060 175,01:00.2,01:00.2
198e247f-3cbf-41c3-9cf8-64d0e4508c9e,2022-01-08 00:43:36+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-3-1001 ,911 9060 175,01:02.2,01:02.2
71d547b8-34db-4879-bb50-25253e925248,2022-01-08 01:34:41+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-515,911 9060 175,01:04.3,01:04.3
04f0955c-ae6f-49b9-a61d-8ca8f6c920ac,2022-01-08 01:55:51+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-2-515,911 9060 175,01:06.3,01:06.3
7d936176-e2ba-47d3-9962-6dad0959dd0d,2022-01-08 02:08:34+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-3-515,911 9060 175,01:08.3,01:08.3
6def519d-c70e-4108-9ca8-c77dc5f50825,2022-01-08 02:58:30+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-4-515,911 9060 175,01:10.4,01:10.4
e96b7bd3-4876-49c9-a964-0b6a3275ef3b,2022-01-08 07:15:45+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-1-1010,911 9060 175,01:12.4,01:12.4
d80858e1-0cfb-4381-95de-dbfc9d50cd87,2022-01-07 14:30:27+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-102,911 9060 175,01:14.4,01:14.4
608c4fc4-1e67-43a1-9f4d-35130d4bf043,2022-01-07 20:03:54+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-223,412 3520 165,01:16.5,01:16.5
4c45fa70-e8c1-48cb-aac5-071c285ad89f,2022-01-07 20:45:20+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-223,412 3520 165,01:18.5,01:18.5
5d2d3e78-d583-45eb-a969-3fc69016716e,2022-01-07 21:05:21+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-1-223,412 3520 165,01:20.5,01:20.5
bdeeea36-d8a2-47db-a0b8-f585238b98f5,2022-01-07 22:35:59+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-3-223,412 3520 165,01:22.6,01:22.6
8d9c308a-80ea-47c6-b213-39f669b16cb6,2022-01-08 01:01:03+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-233,412 3520 165,01:24.6,01:24.6
0047486e-8d6b-4a70-8450-1b371d8eb438,2022-01-08 01:12:29+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-233,412 3520 165,01:26.6,01:26.6
4a2f52de-31bc-426d-9ae7-ba1b953785d3,2022-01-08 22:16:04+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-8 ,911 9060 175,01:28.6,01:28.6
f56940f6-7702-41d3-8527-c69309407acd,2022-01-08 22:29:40+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-4-7 ,911 9060 175,01:30.7,01:30.7
f45c6d34-403d-4686-b040-6ede1e070cf0,2022-01-09 02:23:17+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-3-524 ,911 9060 175,01:32.7,01:32.7
e9e49564-ed54-403c-be9b-5434a365e4c7,2022-01-09 03:29:13+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-1-1038,911 9060 175,01:34.7,01:34.7
aa78ac23-1983-4196-bdb2-bee2b31699e5,2022-01-09 04:13:42+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-2-1038,911 9060 175,01:36.8,01:36.8
a9a7491b-e18d-4ea9-91af-1432583cb53b,2022-01-09 05:08:43+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-4-1038,911 9060 175,01:38.8,01:38.8
9af73b85-b9d7-41a1-afc5-2e642faf53c6,2022-01-08 09:18:41+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 131 T22-2-3-3,911 9060 175,01:40.8,01:40.8
c9a353e8-70ed-43c3-abb5-928cefdbed6b,2022-01-08 10:06:28+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 131 T22-2-4-3,911 9060 175,01:42.9,01:42.9
753673d2-847a-407b-8ee6-cfb1c06f16ea,2022-01-08 10:18:01+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,B PALETI T22-2-2-108,911 9060 175,01:44.9,01:44.9
0b5eecd1-3641-4c1c-a64a-72e6e77f21ec,2022-01-08 10:37:09+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,A PALETI T22-2-2-110,911 9060 175,01:47.0,01:47.0
9309dae5-bfc0-497b-b76a-cc821e2d7eb2,2022-01-08 11:12:16+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-1-524,911 9060 175,01:49.0,01:49.0
256c0680-c844-4275-8d0f-f7cc53dbf5b3,2022-01-08 12:01:26+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-4-524,911 9060 175,01:51.0,01:51.0
e82383d5-0181-4f5b-8c68-a5ea66b18358,2022-01-08 12:42:43+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,A PALETI T22-2-1-1014 KOMATECH,911 9060 175,01:53.0,01:53.0
17733bd5-6447-4b08-88f4-7c0655a6da57,2022-01-08 12:55:32+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,B PALETI T22-2-3-1014 KOMATECH,911 9060 175,01:55.1,01:55.1
0831d42c-6cd2-4cf2-a1eb-53431d42e0f3,2022-01-08 13:34:08+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-1-1020 ,911 9060 175,01:57.1,01:57.1
49813640-1631-42f8-8c8f-a4ff2b76467e,2022-01-08 14:01:14+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-2-4-1020 ,911 9060 175,01:59.1,01:59.1
14b0427a-763e-4ce5-9b91-c4bff9379eec,2022-01-08 17:25:15+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-253,412 3520 165,02:01.2,02:01.2
4e978cb5-d24b-4d52-891f-5688e6536430,2022-01-08 18:10:30+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-3-253,412 3520 165,02:03.2,02:03.2
56ec373b-dca2-40ba-bee8-ff59f718c45f,2022-01-08 18:35:38+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-253,412 3520 165,02:05.2,02:05.2
47a88ad5-3a28-4d0b-a745-4a12364a2acf,2022-01-08 18:54:20+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-1-253,412 3520 165,02:07.3,02:07.3
a59638d7-e5f4-4607-9cfd-32ee2c993fff,2022-01-09 01:17:17+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-2-263,412 3520 165,02:09.3,02:09.3
b9e68cb3-d90f-412e-aba7-d3f2488455ab,2022-01-09 01:37:01+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,UZUN KISITLANMIS 4123520165---2,C 57 T22-2-4-263,412 3520 165,02:11.3,02:11.3
626502cb-6d98-4025-ade6-39a7b58590ec,2022-01-10 15:14:15+03,xls,a 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,001-0521-00 DUZLEMSELLIK,C 115 5,001 0521 00,02:13.4,02:13.4
c275475b-d72e-43a5-8d1a-f8f239ba6bfd,2022-01-10 13:29:17+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,4,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-2-519 A,911 9060 175,02:15.4,02:15.4
efe8ebcd-ba98-45f1-b24a-afe828a0adb7,2022-01-10 13:45:51+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-2-2-518 B,911 9060 175,02:17.4,02:17.4
8e8202a2-6d8c-4d15-9a8a-a2c308e9c74f,2022-01-10 17:14:30+03,xls,a 4001,,,,,{},{},,Calypso Measuring Result,T-1,1,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-3-2-9,911 9060 175,02:19.4,02:19.4
932bfca0-753d-45ca-941b-8e2cc43e5847,2022-01-10 17:39:38+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-3-4-9,911 9060 175,02:21.5,02:21.5
cebeeef6-2eae-4336-a815-955800163825,2022-01-10 22:02:25+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-3-1-10,911 9060 175,02:23.5,02:23.5
369fe93a-79c4-4c63-b4f7-9527c59809ab,2022-01-10 22:28:55+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-3-2-10,911 9060 175,02:25.5,02:25.5
018b5161-d89d-49ab-a237-e6c6970e1979,2022-01-10 22:51:08+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-3-3-10,911 9060 175,02:27.6,02:27.6
62159b2f-2543-4cd0-a4cc-17bd984c399a,2022-01-10 23:12:54+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 76 T22-3-4-10,911 9060 175,02:29.6,02:29.6
fc92e91a-21de-4203-bd7b-9354bd9aead8,2022-01-11 01:04:12+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,KOMATECH A T22-2-4-163,911 9060 175,02:31.7,02:31.7
d9b28de2-d537-4118-8f5e-a788aeee4b85,2022-01-11 01:22:13+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,KOMATECH B T22-2-1-162,911 9060 175,02:33.7,02:33.7
532fbc12-531f-4a27-9616-79ea0242c100,2022-01-11 03:43:09+03,xls,A 4001,,,,,{},{},,Calypso Measuring Result,T-1,2,,Master,,,,,911 906 017 5 TP CAP59 --X ---,C 133 T22-3-1-19,911 9060 175,02:35.7,02:35.7
